S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Constituency,Total Sittings,No. of days member signed the register
206,265,Shri  Premchand  Guddu                                             ,15,4,Madhya Pradesh                                              ,Ujjain,32,20
207,266,Shri  Marotrao  Sainuji   Kowase                                  ,15,4,Maharashtra                                                 ,Gadchiroli-Chimur,32,24
208,267,Shri   Suresh  Kashinath   Taware                                ,15,4,Maharashtra                                                 ,Bhiwandi,32,32
209,268,Shri  Jaywant  Gangaram   Awale                                  ,15,4,Maharashtra                                                 ,Latur,32,30
210,269,Dr.  Nilesh N.  Rane                                              ,15,4,Maharashtra                                                 ,Ratnagiri-Sindhudurg,32,31
211,270,Shri  Thangso  Baite                                             ,15,4,Manipur                                                     ,Outer Manipur,32,31
212,271,Shri  Pradeep  Majhi                                             ,15,4,Orissa                                                      ,Nabarangpur,32,26
213,272,Shri  Amarnath  Pradhan                                           ,15,4,Orissa                                                      ,Sambalpur,32,28
214,273,Shri  Hemanand  Biswal                                            ,15,4,Orissa                                                      ,Sundargarh,32,31
215,274,Shri  Sanjay  Bhoi                                              ,15,4,Orissa                                                      ,Bargarh,32,28
216,275,Shri  C. L.  Ruala                                             ,15,4,Mizoram                                                     ,Mizoram,32,30
217,276,Shri  Mulayam Singh  Yadav                                             ,15,4,Uttar Pradesh                                               ,Mainpuri,32,30
218,277,Shri  H.D.  Devegowda                                         ,15,4,Karnataka                                                   ,Hassan,32,20
219,278,Kunwar  Rewati Raman  Singh                                             ,15,4,Uttar Pradesh                                               ,Allahabad,32,28
220,279,Dr.    Bali Ram                                          ,15,4,Uttar Pradesh                                               ,Lalganj,32,31
221,280,Shri  Gurudas  Das Gupta                                         ,15,4,West Bengal                                                 ,Ghatal,32,30
222,282,Prof.  Saugata  Ray                                               ,15,4,West Bengal                                                 ,Dum Dum,32,16
223,283,Shri  Shailendra  Kumar                                             ,15,4,Uttar Pradesh                                               ,Kaushambi ,32,29
224,284,Shri  Bhisma  Shankar Alias Kushal Tiwari                       ,15,4,Uttar Pradesh                                               ,Sant Kabir Nagar,32,29
225,285,Dr.  M.  Thambidurai                                       ,15,4,Tamil Nadu                                                  ,Karur,32,19
226,286,Shri  Akhilesh  Yadav                                             ,15,4,Uttar Pradesh                                               ,Kannauj,32,22
227,287,Shri  Ashok Kumar  Rawat                                             ,15,4,Uttar Pradesh                                               ,Misrikh,32,30
228,288,Dr.  Shafiqur Rahman  Barq                                              ,15,4,Uttar Pradesh                                               ,Sambhal,32,31
229,289,Shri  Baju Ban  Riyan                                             ,15,4,Tripura                                                     ,Tripura East,32,23
230,290,Shri  S.  Semmalai                                          ,15,4,Tamil Nadu                                                  ,Salem,32,29
231,291,Shri  Kalyan  Singh                                             ,15,4,Uttar Pradesh                                               ,Etah,32,6
232,292,Shri  Brij Bhushan Sharan  Singh                                             ,15,4,Uttar Pradesh                                               ,Kaiserganj,32,32
233,293,Shri  Tufani  Saroj                                             ,15,4,Uttar Pradesh                                               ,Machhlishahr,32,30
234,294,Shri  Jagdish Singh  Rana                                              ,15,4,Uttar Pradesh                                               ,Saharanpur,32,28
235,295,Shri  Vijay Bahadur  Singh                                             ,15,4,Uttar Pradesh                                               ,Hamirpur,32,28
236,296,Dr.  Ram Chandra  Dome                                              ,15,4,West Bengal                                                 ,Bolpur,32,28
237,297,Shri  Khagen  Das                                               ,15,4,Tripura                                                     ,Tripura West,32,22
238,298,Shri  O. S.  Manian                                            ,15,4,Tamil Nadu                                                  ,Mayiladuthurai,32,16
239,299,Shri  R.K. Singh  Patel                                             ,15,4,Uttar Pradesh                                               ,Banda,32,28
240,300,Smt.  Sushila  Saroj                                             ,15,4,Uttar Pradesh                                               ,Mohanlalganj,32,32
241,301,Smt.  Seema  Upadhyay                                          ,15,4,Uttar Pradesh                                               ,Fatehpur Sikri,32,30
242,302,  Smt. Tabassum  Hasan  ,15,4,Uttar Pradesh                                               ,Kairana,32,24
243,303,Shri  Prabodh  Panda                                             ,15,4,West Bengal                                                 ,Medinipur,32,29
244,304,Shri  Bansagopal  Chowdhury                                         ,15,4,West Bengal                                                 ,Asansol,32,21
245,305,Shri  P.  Venugopal                                         ,15,4,Tamil Nadu                                                  ,Tiruvallur,32,25
246,306,Shri    Bhajan Lal                                        ,15,4,Haryana                                                     ,Hisar,32,14
247,306,Shri  C.  Rajendran                                         ,15,4,Tamil Nadu                                                  ,Chennai South,32,19
248,309,Shri  S.K. Nurul  Islam                                             ,15,4,West Bengal                                                 ,Basirhat,32,16
249,310,Shri    Ramkishun                                         ,15,4,Uttar Pradesh                                               ,Chandauli,32,28
250,311,Shri  Rakesh  Sachan                                            ,15,4,Uttar Pradesh                                               ,Fatehpur,32,28
251,312,Smt.  Raj Kumari  Chauhan                                           ,15,4,Uttar Pradesh                                               ,Aligarh,32,23
252,313,Smt.  Kaisar  Jahan                                             ,15,4,Uttar Pradesh                                               ,Sitapur,32,22
253,314,Shri  P.R.  Natarajan                                         ,15,4,Tamil Nadu                                                  ,Coimbatore,32,19
254,315,Adv.  A.  Sampath                                           ,15,4,Kerala                                                      ,Attingal,32,27
255,316,Shri  Manohar  Tirkey                                            ,15,4,West Bengal                                                 ,Alipurduars,32,23
256,317,Shri  M.  Anandan                                           ,15,4,Tamil Nadu                                                  ,Viluppuram,32,27
257,318,Shri  Dinesh  Trivedi                                           ,15,4,West Bengal                                                 ,Barrackpur,32,16
258,319,Shri  Gobinda Chandra  Naskar                                            ,15,4,West Bengal                                                 ,Bangaon,32,22
